Entity,Code,Year,Number of one-year-olds vaccinated with HepB3,"Number of one-year-olds vaccinated with DTP containing vaccine, 3rd dose","Number of one-year-olds vaccinated with polio, 3rd dose",Population - Sex: all - Age: 0 - Variant: estimates,"Number of one-year-olds vaccinated with measles-containing vaccine, 1st dose",Number of one-year-olds vaccinated with Hib3,"Number of one-year-olds vaccinated with rubella-containing vaccine, 1st dose","Number of one-year-olds vaccinated with rotavirus, last dose",Number of one-year-olds vaccinated with BCG
Botswana,BWA,1981,,29009,27462,40330,27075,,,,35971
Brazil,BRA,1981,,1686760,1399652,3740280,2619860,,,,2225087
British Virgin Islands,VGB,1981,,,,279,,,,,
Brunei,BRN,1981,,5568,5627,5630,4738,,,,5864
Bulgaria,BGR,1981,,128728,128728,123808,127427,,,,128728
Burkina Faso,BFA,1981,,,,318826,,,,,
Burundi,BDI,1981,,63293,68568,205001,49228,,,,103731
Cambodia,KHM,1981,,,,229957,,,,,
Cameroon,CMR,1981,,16877,16877,367041,54007,,,,27003
Canada,CAN,1981,,,,367749,,,,,
Cape Verde,CPV,1981,,,,13055,,,,,
Cayman Islands,CYM,1981,,,,362,,,,,
Central African Republic,CAF,1981,,9907,9907,102299,13510,,,,23417
Chad,TCD,1981,,,,195101,,,,,
Chile,CHL,1981,,255710,255710,260696,245378,,,,247961
China,CHN,1981,,,,21258644,,,,,
Colombia,COL,1981,,154747,170222,786999,201171,,,,441030
Comoros,COM,1981,,,,14719,,,,,
Congo,COG,1981,,28525,28525,72148,33279,,,,
Cook Islands,COK,1981,,204,213,455,,,,,195
Costa Rica,CRI,1981,,59622,59622,72311,55413,,,,56816
Cote d'Ivoire,CIV,1981,,,,381596,,,,,
Croatia,HRV,1981,,,,68621,,,,,
Cuba,CUB,1981,,94967,135467,136210,68432,,,,135467
Curacao,CUW,1981,,,,3139,,,,,
Cyprus,CYP,1981,,7047,5537,13283,3524,,3524,,
Czechia,CZE,1981,,,,148013,,,,,
Democratic Republic of Congo,COD,1981,,186751,186751,1147087,238626,,,,632877
Denmark,DNK,1981,,51265,57091,55072,,,,,
Djibouti,DJI,1981,,,,13432,,,,,
Dominica,DMA,1981,,1491,1491,1543,,,,,876
Dominican Republic,DOM,1981,,49030,76268,190157,32686,,,,61741
East Timor,TLS,1981,,,,26357,,,,,
Ecuador,ECU,1981,,68199,70822,275346,81314,,,,215089
Egypt,EGY,1981,,865786,1017678,1635737,622758,,,,759461
El Salvador,SLV,1981,,65197,58988,165697,68302,,,,72959
Equatorial Guinea,GNQ,1981,,,,11754,,,,,
Eritrea,ERI,1981,,,,67368,,,,,
Estonia,EST,1981,,,,22299,,,,,
Eswatini,SWZ,1981,,7801,5720,28451,7801,,,,15341
Ethiopia,ETH,1981,,43069,43069,1602352,43069,,,,71781
Europe (UN),,1981,,,,9913745,,,,,
Falkland Islands,FLK,1981,,,,31,,,,,
Faroe Islands,FRO,1981,,,,754,,,,,
Fiji,FJI,1981,,14588,12921,21356,8336,,,,20423
Finland,FIN,1981,,57908,56650,62959,44061,,44061,,56650
France,FRA,1981,,597116,604674,776938,,,,,604674
French Guiana,GUF,1981,,,,1810,,,,,
French Polynesia,PYF,1981,,,,4845,,,,,
Gabon,GAB,1981,,,,27879,,,,,
Gambia,GMB,1981,,22068,19164,32799,20326,,,,27876
Georgia,GEO,1981,,,,97618,,,,,
Germany,DEU,1981,,780670,780670,855909,410879,,,,
Ghana,GHA,1981,,105922,120366,484339,110737,,,,
Gibraltar,GIB,1981,,,,496,,,,,
Greece,GRC,1981,,137632,137632,164335,,,,,137632
Greenland,GRL,1981,,,,978,,,,,
Grenada,GRD,1981,,1050,1001,2224,,,,,
Guadeloupe,GLP,1981,,,,6382,,,,,
Guam,GUM,1981,,,,2922,,,,,
Guatemala,GTM,1981,,113716,113716,284978,21660,,,,78518
Guernsey,GGY,1981,,,,614,,,,,
Guinea,GIN,1981,,,,209346,27503,,,,7334
Guinea-Bissau,GNB,1981,,,,36667,,,,,
Guyana,GUY,1981,,10049,8263,23069,,,,,16302
