Entity,Code,Year,Number of one-year-olds vaccinated with HepB3,"Number of one-year-olds vaccinated with DTP containing vaccine, 3rd dose","Number of one-year-olds vaccinated with polio, 3rd dose",Population - Sex: all - Age: 0 - Variant: estimates,"Number of one-year-olds vaccinated with measles-containing vaccine, 1st dose",Number of one-year-olds vaccinated with Hib3,"Number of one-year-olds vaccinated with rubella-containing vaccine, 1st dose","Number of one-year-olds vaccinated with rotavirus, last dose",Number of one-year-olds vaccinated with BCG
Bonaire Sint Eustatius and Saba,BES,1989,,,,252,,,,,
Bosnia and Herzegovina,BIH,1989,,,,69840,,,,,
Botswana,BWA,1989,,40657,39331,42666,38447,,,,40657
Brazil,BRA,1989,,2037763,1964986,3619950,2183318,,,,2692759
British Virgin Islands,VGB,1989,,,,322,,,,,
Brunei,BRN,1989,,6656,6656,7027,7241,,7241,,6436
Bulgaria,BGR,1989,,112071,112071,112866,112071,,,,112071
Burkina Faso,BFA,1989,,157052,157052,386537,235578,,,,296257
Burundi,BDI,1989,,178988,187719,239252,159343,,,,216095
Cambodia,KHM,1989,,166042,169575,311149,137780,,,,194305
Cameroon,CMR,1989,,240710,232113,448608,240710,,,,326678
Canada,CAN,1989,,325966,325966,386796,325966,,325966,,
Cape Verde,CPV,1989,,12967,12967,14130,11002,,,,12967
Cayman Islands,CYM,1989,,,,419,,,,,
Central African Republic,CAF,1989,,68452,65244,120106,73800,,,,91983
Chad,TCD,1989,,47146,47146,271613,75434,,,,139082
Chile,CHL,1989,,268451,268451,288877,259974,,,,274103
China,CHN,1989,,24537218,24795504,25942536,24537218,,,,25312077
Colombia,COL,1989,,657166,758269,830712,682442,,,,791970
Comoros,COM,1989,,12885,12257,17806,13357,,,,14928
Congo,COG,1989,,64891,64891,85358,61606,,,,73927
Cook Islands,COK,1989,,402,402,478,447,,,,425
Costa Rica,CRI,1989,,71708,71708,82728,64203,,64203,,74209
Cote d'Ivoire,CIV,1989,,182766,182766,501710,178414,,,,204523
Croatia,HRV,1989,,,,57745,,,,,
Cuba,CUB,1989,,172838,172838,185489,176439,,176439,,176439
Curacao,CUW,1989,,,,3164,,,,,
Cyprus,CYP,1989,,13201,13201,14352,10788,,10788,,
Czechia,CZE,1989,,,,129001,,,,,
Democratic Republic of Congo,COD,1989,,514273,514273,1496368,554874,,,,744343
Denmark,DNK,1989,,51245,56427,59996,46063,,46063,,
Djibouti,DJI,1989,,13988,13988,19152,13624,,,,14533
Dominica,DMA,1989,,1445,1477,1615,1382,,1382,,1555
Dominican Republic,DOM,1989,,115533,139436,206519,129477,,,,125493
East Timor,TLS,1989,,,,31174,,,,,
Ecuador,ECU,1989,,160851,187172,295451,166700,,,,266136
Egypt,EGY,1989,,1615283,1615283,1885428,1543493,,,,1489650
El Salvador,SLV,1989,,106262,106262,172922,121205,,,,102941
Equatorial Guinea,GNQ,1989,,8249,2578,19244,3093,,,,8421
Eritrea,ERI,1989,,,,80692,,,,,
Estonia,EST,1989,,,,24316,,,,,
Eswatini,SWZ,1989,,27921,27921,33018,26666,,,,30117
Ethiopia,ETH,1989,,499914,499914,2108869,442232,,,,846009
Europe (UN),,1989,,,,9573674,,,,,
Falkland Islands,FLK,1989,,,,30,,,,,
Faroe Islands,FRO,1989,,,,897,,,,,
Fiji,FJI,1989,,21815,22037,22375,14469,,,,22037
Finland,FIN,1989,,55192,55192,62959,58258,,58258,,55805
France,FRA,1989,,702738,621368,759210,429040,,429040,,554793
French Guiana,GUF,1989,,,,2973,,,,,
French Polynesia,PYF,1989,,,,5902,,,,,
Gabon,GAB,1989,,25720,25720,34445,25060,,,,31655
Gambia,GMB,1989,,34483,36465,44813,33691,,,,38843
Georgia,GEO,1989,,,,100862,,,,,
Germany,DEU,1989,,712458,712458,890431,667929,,,,
Ghana,GHA,1989,,284296,278722,573143,362339,,,,390211
Gibraltar,GIB,1989,,,,373,,,,,
Greece,GRC,1989,,59399,105599,104296,83599,,,,90199
Greenland,GRL,1989,,,,1149,,,,,
Grenada,GRD,1989,,2496,2467,2345,2553,,,,
Guadeloupe,GLP,1989,,,,7276,,,,,
Guam,GUM,1989,,,,3437,,,,,
Guatemala,GTM,1989,,157926,183195,333847,189512,,,,66329
Guernsey,GGY,1989,,,,716,,,,,
Guinea,GIN,1989,,38935,36644,257135,61838,,,,70999
Guinea-Bissau,GNB,1989,,19838,19838,40249,23879,,,,34900
Guyana,GUY,1989,,14901,15288,20430,13353,,,,14708
Haiti,HTI,1989,,113763,113763,238420,70533,,,,156993
High-income countries,,1989,,,,14215899,,,,,
Honduras,HND,1989,,147677,149415,178892,163314,,,,138990
Hong Kong,HKG,1989,,,,71541,,,,,
Hungary,HUN,1989,,121395,121395,121862,121395,,121395,,121395
Iceland,ISL,1989,,4371,4371,4616,4371,,4371,,
India,IND,1989,,12345951,13580546,26244504,10370599,,,,6913733
Indonesia,IDN,1989,,2503903,2459975,4581720,2372118,,,,3162825
Iran,IRN,1989,,1472044,1472044,1938254,1418189,,,,1525900
Iraq,IRQ,1989,,532734,532734,647606,483747,,,,587844
Ireland,IRL,1989,,36663,45688,53234,43996,,43996,,46816
Isle of Man,IMN,1989,,,,820,,,,,
Israel,ISR,1989,,91653,92649,97021,87668,,,,
Italy,ITA,1989,,,419390,581369,,,,,
Jamaica,JAM,1989,,52756,52135,59681,44067,,,,61445
Japan,JPN,1989,,1133122,1211268,1228726,1002878,,1002878,,1107073
Jersey,JEY,1989,,,,997,,,,,
Jordan,JOR,1989,,111592,111592,124043,99721,,,,
Kazakhstan,KAZ,1989,,,,404894,,,,,
Kenya,KEN,1989,,750638,750638,936466,678287,,,,813945
Kiribati,KIR,1989,,1938,2110,2607,1545,,,,2428
Kosovo,OWID_KOS,1989,,,,57380,,,,,
Kuwait,KWT,1989,,50204,50204,53920,52341,,,,
Kyrgyzstan,KGZ,1989,,,,134305,,,,,
Land-locked developing countries (LLDC),,1989,,,,10198313,,,,,
Laos,LAO,1989,,31862,33379,163599,30345,,,,44000
Latin America and the Caribbean (UN),,1989,,,,11520422,,,,,
Latvia,LVA,1989,,,,41319,,,,,
Least developed countries,,1989,,,,19994708,,,,,
Lebanon,LBN,1989,,74553,73609,97576,54735,,,,
Lesotho,LSO,1989,,46569,46569,61331,45419,,,,50018
Less developed regions,,1989,,,,119213400,,,,,
"Less developed regions, excluding China",,1989,,,,92861056,,,,,
"Less developed regions, excluding least developed countries",,1989,,,,99218688,,,,,
Liberia,LBR,1989,,,,101423,,,,,
Libya,LBY,1989,,107140,107140,120829,97288,,,,110835
Liechtenstein,LIE,1989,,,,390,,,,,
Lithuania,LTU,1989,,,,56132,,,,,
Low-income countries,,1989,,,,11952071,,,,,
Lower-middle-income countries,,1989,,,,58798852,,,,,
Luxembourg,LUX,1989,,4105,4105,4637,3649,,,,
Macao,MAC,1989,,,,6787,,,,,
Madagascar,MDG,1989,,194745,181762,471947,190417,,,,311592
Malawi,MWI,1989,,309436,320107,401920,298766,,,,341447
Malaysia,MYS,1989,321877,391851,391851,473171,284558,,,,461824
Maldives,MDV,1989,,7459,7459,8527,7213,,,,8033
Mali,MLI,1989,,89645,89645,390483,137916,,,,293072
Malta,MLT,1989,,2580,4830,5436,4721,,4721,,4336
Marshall Islands,MHL,1989,55,1686,1155,1805,715,,,,
Martinique,MTQ,1989,,,,6503,,,,,
Mauritania,MRT,1989,,19688,19688,73391,29533,,,,55550
Mauritius,MUS,1989,,17507,17713,21101,16478,,,,18125
Mayotte,MYT,1989,,,,3708,,,,,
Mexico,MEX,1989,,1448503,2139327,2314151,1894196,,,,1782773
Micronesia (country),FSM,1989,1500,3031,2489,3437,3000,,3000,,255
Moldova,MDA,1989,,,,87437,,,,,
Monaco,MCO,1989,,249,249,255,249,,249,,249
Mongolia,MNG,1989,,57984,60055,72756,59365,,,,63507
Montenegro,MNE,1989,,,,10428,,,,,
Montserrat,MSR,1989,,,,185,,,,,
More developed regions,,1989,,,,15507155,,,,,
Morocco,MAR,1989,,554541,554541,699832,568404,,,,630790
Mozambique,MOZ,1989,,227627,227627,544313,232470,,,,256686
Myanmar,MMR,1989,,500368,450331,1013604,500368,,,,660486
Namibia,NAM,1989,,,,46771,,,,,
Nauru,NRU,1989,,227,212,325,,,,,291
Nepal,NPL,1989,,280078,267348,675802,362829,,,,445579
Netherlands,NLD,1989,,180995,180995,189594,175397,,175397,,
New Caledonia,NCL,1989,,,,4173,,,,,
New Zealand,NZL,1989,,43597,45232,56850,45232,,45232,,
Nicaragua,NIC,1989,,96439,123385,145115,89348,,,,133313
Niger,NER,1989,,45275,45275,400940,48758,,,,111447
Nigeria,NGA,1989,,1585344,1585344,3845961,1990113,,,,2057575
Niue,NIU,1989,,55,55,53,55,,55,,55
North Korea,PRK,1989,,382194,311271,406861,390074,,,,390074
North Macedonia,MKD,1989,,,,37087,,,,,
Northern America (UN),,1989,,,,4396312,,,,,
Northern Mariana Islands,MNP,1989,,,,911,,,,,
Norway,NOR,1989,,46312,46869,58167,46869,,46869,,
Oceania (UN),,1989,,,,515438,,,,,
Oman,OMN,1989,,60593,60593,61102,58120,,,,58739
Pakistan,PAK,1989,,1647594,1647594,4466903,1977113,,,,3295188
Palau,PLW,1989,,243,309,309,306,,,,
Palestine,PSE,1989,,,,89314,,,,,
Panama,PAN,1989,,44036,45294,63612,45924,,,,54731
Papua New Guinea,PNG,1989,,66863,65601,132793,65601,,,,103448
Paraguay,PRY,1989,,78788,76204,132910,74913,,,,85246
Peru,PER,1989,,367644,380321,652364,329612,,,,392999
Philippines,PHL,1989,,1599800,1581197,2057385,1543993,,,,1785823
Poland,POL,1989,,535290,535290,543742,529714,,529714,,529714
Portugal,PRT,1989,,102098,102098,117454,111379,,111379,,100937
Puerto Rico,PRI,1989,,,,64331,,,,,
Qatar,QAT,1989,,7934,7934,9578,7738,,,,7738
Reunion,REU,1989,,,,12350,,,,,
Romania,ROU,1989,,335855,332357,353570,314864,,,,314864
Russia,RUS,1989,,,,2246455,,,,,
Rwanda,RWA,1989,,237625,269501,303303,240522,,,,266603
Saint Barthelemy,BLM,1989,,,,88,,,,,
Saint Helena,SHN,1989,,,,117,,,,,
Saint Kitts and Nevis,KNA,1989,,924,924,920,840,,840,,728
Saint Lucia,LCA,1989,,3682,3722,3773,3642,,3642,,3962
Saint Martin (French part),MAF,1989,,,,730,,,,,
Saint Pierre and Miquelon,SPM,1989,,,,58,,,,,
Saint Vincent and the Grenadines,VCT,1989,,2592,2566,2606,2619,,,,2619
Samoa,WSM,1989,,3335,3335,5356,4143,,,,4042
San Marino,SMR,1989,,221,221,233,,,,,
Sao Tome and Principe,STP,1989,,2636,2594,4542,1883,,,,3933
Saudi Arabia,SAU,1989,,492102,492102,384416,461345,,,,492102
Senegal,SEN,1989,,129309,154070,295528,132060,,,,247612
Serbia,SRB,1989,,,,94317,,,,,
Seychelles,SYC,1989,,1549,1549,1674,1421,,1421,,1501
Sierra Leone,SLE,1989,,,,164331,,,,,
Singapore,SGP,1989,,42097,42097,51165,37887,,,,46306
Sint Maarten (Dutch part),SXM,1989,,,,652,,,,,
Slovakia,SVK,1989,,,,80337,,,,,
Slovenia,SVN,1989,,,,24154,,,,,
Small island developing states (SIDS),,1989,,,,1263399,,,,,
Solomon Islands,SLB,1989,,7530,7418,12315,10340,,,,9216
Somalia,SOM,1989,,51781,51781,320635,86301,,,,89178
South Africa,ZAF,1989,,887625,912628,1175507,1050148,,,,912628
South Korea,KOR,1989,,606138,599328,683320,647001,,647001,,476738
South Sudan,SSD,1989,,,,197703,,,,,
Spain,ESP,1989,,383104,387224,413430,399582,,399582,,
Sri Lanka,LKA,1989,,299437,302878,323998,261577,,,,309762
Sudan,SDN,1989,,474167,482070,882064,482070,,,,592709
Suriname,SUR,1989,,8494,8376,12313,8612,,,,
Sweden,SWE,1989,,108238,108238,113870,103864,,103864,,14213
Switzerland,CHE,1989,,69762,75963,80144,69762,,69762,,
Syria,SYR,1989,,405954,405954,452976,371405,,,,423229
Taiwan,TWN,1989,,,,331474,,,,,
Tajikistan,TJK,1989,,,,216610,,,,,
Tanzania,TZA,1989,,741284,635387,1018977,760539,,,,885690
Thailand,THA,1989,,885927,885927,1052089,696086,,,,1033582
Togo,TGO,1989,,99565,99565,151674,107862,,,,129988
Tokelau,TKL,1989,,,,56,,,,,
Tonga,TON,1989,,2671,2671,3026,2412,,,,2786
Trinidad and Tobago,TTO,1989,,22425,22425,27773,17183,,17183,,
Tunisia,TUN,1989,,207093,207093,212881,207093,,,,213774
Turkey,TUR,1989,,1055872,1055872,1417083,948948,,,,1269720
Turkmenistan,TKM,1989,,,,126558,,,,,
Turks and Caicos Islands,TCA,1989,,,,271,,,,,
Tuvalu,TUV,1989,,247,192,276,230,,,,285
Uganda,UGA,1989,,304048,304048,788553,369201,,,,521225
Ukraine,UKR,1989,,,,745971,,,,,
United Arab Emirates,ARE,1989,,36844,37283,44139,34212,,34212,,42108
United Kingdom,GBR,1989,,601207,685992,724932,647454,,647454,,
United States,USA,1989,,3408943,3300147,4007494,3408943,,3408943,,
United States Virgin Islands,VIR,1989,,,,1807,,,,,
Upper-middle-income countries,,1989,,,,49181728,,,,,
Uruguay,URY,1989,,46834,46834,54462,43641,,43641,,52689
Uzbekistan,UZB,1989,,,,639933,,,,,
Vanuatu,VUT,1989,,3216,3690,5492,2636,,,,4218
Vatican,VAT,1989,,,,4,,,,,
Venezuela,VEN,1989,,310825,365356,556788,272654,,,,479870
Vietnam,VNM,1989,,1608636,1279597,1773421,1389276,,,,1718315
Wallis and Futuna,WLF,1989,,,,360,,,,,
Western Sahara,ESH,1989,,,,6215,,,,,
World,OWID_WRL,1989,0,88092178,90683124,134720544,88092178,,9068312,,90683124
Yemen,YEM,1989,,317849,317849,634914,272442,,,,425691
Zambia,ZMB,1989,,249442,243432,327344,240426,,,,291517
Zimbabwe,ZWE,1989,,293284,296655,344678,293284,,,,303397
Afghanistan,AFG,1990,,111116,111116,560766,88893,,,,133340
Africa (UN),,1990,,,,24935256,,,,,
Albania,ALB,1990,,74465,70504,81052,69712,,,,74465
Algeria,DZA,1990,,690490,690490,740433,643941,,,,768074
American Samoa,ASM,1990,,,,1605,,,,,
Americas (UN),,1990,,,,16053919,,,,,
Andorra,AND,1990,,,,503,,,,,
Angola,AGO,1990,,117966,113051,520724,186779,,,,235932
Anguilla,AIA,1990,,,,187,,,,,
Antigua and Barbuda,ATG,1990,,1284,1284,1301,1154,,1154,,
Argentina,ARG,1990,,594579,615082,700933,635584,,,,676590
Armenia,ARM,1990,,,,83368,,,,,
Aruba,ABW,1990,,,,1221,,,,,
Asia (UN),,1990,,,,85172400,,,,,
Australia,AUS,1990,,239410,181448,256713,216729,,216729,,
Austria,AUT,1990,,80449,80449,89707,53633,,53633,,
Azerbaijan,AZE,1990,,,,197795,,,,,
Bahamas,BHS,1990,,5382,5132,5956,5382,,,,
Bahrain,BHR,1990,,13143,13143,13899,12164,,12164,,
Bangladesh,BGD,1990,,2315867,2315867,3649365,2181614,,,,2886443
Barbados,BRB,1990,,3547,3508,4117,3391,,3391,,
Belarus,BLR,1990,,,,147313,,,,,
Belgium,BEL,1990,,112109,114520,122066,102465,,102465,,
Belize,BLZ,1990,,5489,5188,6389,5188,,,,5610
Benin,BEN,1990,,145979,145979,221806,155843,,,,181487
Bermuda,BMU,1990,,,,828,,,,,
Bhutan,BTN,1990,,17652,17652,21032,17100,,,,18203
Bolivia,BOL,1990,,91789,111938,238212,118654,,,,145519
Bonaire Sint Eustatius and Saba,BES,1990,,,,252,,,,,
Bosnia and Herzegovina,BIH,1990,,,,67904,,,,,
Botswana,BWA,1990,,40607,39724,42514,38400,,,,41048
Brazil,BRA,1990,,2377168,2089026,3571358,2809380,,,,2845398
British Virgin Islands,VGB,1990,,,,343,,,,,
Brunei,BRN,1990,7061,6840,6767,7122,7281,,7281,,6693
Bulgaria,BGR,1990,,109932,109932,106334,109932,,,,109932
Burkina Faso,BFA,1990,,239855,239855,394829,287099,,,,345245
Burundi,BDI,1990,,190874,215289,242089,164241,,,,215289
Cambodia,KHM,1990,,135180,135180,315793,120951,,,,184984
Cameroon,CMR,1990,,211017,237394,458964,246186,,,,334110
Canada,CAN,1990,,340540,340540,401895,344410,,344410,,
Cape Verde,CPV,1990,,11598,11466,14312,10411,,,,12784
Cayman Islands,CYM,1990,,,,444,,,,,
Central African Republic,CAF,1990,,89691,89691,122511,89691,,,,105004
Chad,TCD,1990,,49476,49476,283053,79161,,,,145953
Chile,CHL,1990,,272206,272206,292047,277937,,277937,,269341
China,CHN,1990,,24849881,25106065,26742904,25106065,,,,25362250
Colombia,COL,1990,,749346,791922,844009,698254,,,,808953
Comoros,COM,1990,,15056,15056,18050,13935,,,,15857
Congo,COG,1990,,66290,67130,87454,62934,,,,75521
Cook Islands,COK,1990,332,435,388,492,314,,,,463
Costa Rica,CRI,1990,,79261,79261,82412,75090,,75090,,76758
Cote d'Ivoire,CIV,1990,,250186,259452,518679,259452,,,,287251
Croatia,HRV,1990,,,,56950,,,,,
Cuba,CUB,1990,,169380,173062,185165,173062,,173062,,180427
Curacao,CUW,1990,,,,3146,,,,,
Cyprus,CYP,1990,,13118,13259,14245,10861,,10861,,
Czechia,CZE,1990,,,,127767,,,,,
Democratic Republic of Congo,COD,1990,,487041,473126,1538810,528788,,,,904506
Denmark,DNK,1990,,54158,59573,62312,50547,,50547,,
Djibouti,DJI,1990,,16988,16988,21072,16988,,,,16189
Dominica,DMA,1990,,1453,1484,1571,1390,,1390,,1563
Dominican Republic,DOM,1990,,140623,183422,209555,142661,,,,142661
East Timor,TLS,1990,,,,30727,,,,,
Ecuador,ECU,1990,,200760,197807,300296,177141,,,,262759
Egypt,EGY,1990,,1562830,1562830,1876899,1544866,,,,1598757
El Salvador,SLV,1990,,134352,134352,173745,164581,,,,125955
Equatorial Guinea,GNQ,1990,,13702,13346,19863,15660,,,,16727
Eritrea,ERI,1990,,,,81772,,,,,
Estonia,EST,1990,,,,23045,,,,,
Eswatini,SWZ,1990,,28573,28573,33723,27289,,,,30821
Ethiopia,ETH,1990,,972072,972072,2188318,753852,,,,1269645
Europe (UN),,1990,,,,9336613,,,,,
Falkland Islands,FLK,1990,,,,30,,,,,
Faroe Islands,FRO,1990,,,,925,,,,,
Fiji,FJI,1990,,21461,21240,22293,18585,,,,21904
Finland,FIN,1990,,56804,56804,64160,61223,,61223,,57436
France,FRA,1990,,692865,700236,753797,523334,,523334,,545447
French Guiana,GUF,1990,,,,3240,,,,,
French Polynesia,PYF,1990,,,,5824,,,,,
Gabon,GAB,1990,,26259,26259,35020,25585,,,,32318
Gambia,GMB,1990,,37920,38744,46577,35447,,,,40393
Georgia,GEO,1990,,,,99684,,,,,
Germany,DEU,1990,,721030,721030,901427,675966,,,,
Ghana,GHA,1990,,325305,319696,581423,342131,,,,398218
Gibraltar,GIB,1990,,,,343,,,,,
Greece,GRC,1990,,58628,104227,103663,82513,,,,93370
Greenland,GRL,1990,,,,1184,,,,,
Grenada,GRD,1990,,2201,1898,2340,2338,,,,
Guadeloupe,GLP,1990,,,,7367,,,,,
Guam,GUM,1990,,,,3521,,,,,
Guatemala,GTM,1990,,214093,240043,339928,220580,,,,201117
Guernsey,GGY,1990,,,,744,,,,,
Guinea,GIN,1990,,40439,42818,265557,83257,,,,118938
Guinea-Bissau,GNB,1990,,22608,22238,40301,19643,,,,33357
Guyana,GUY,1990,,16117,15340,20485,14175,,,,16505
Haiti,HTI,1990,,94787,92475,242064,71668,,,,166455
High-income countries,,1990,,,,14285040,,,,,
Honduras,HND,1990,,148845,154161,182313,159477,,,,124038
Hong Kong,HKG,1990,,,,67516,,,,,
Hungary,HUN,1990,,120339,120339,122740,120339,,120339,,120339
Iceland,ISL,1990,,4534,4534,4669,4534,,4534,,
India,IND,1990,,17418843,16423481,26352270,13935075,,,,16423481
Indonesia,IDN,1990,,2636300,2636300,4545663,2548423,,,,3251436
Iran,IRN,1990,,1607924,1590254,1900566,1501907,,,,1678602
Iraq,IRQ,1990,,516428,516428,660115,466652,,,,597314
Ireland,IRL,1990,,34906,43499,52427,41888,,41888,,45110
Isle of Man,IMN,1990,,,,837,,,,,
Israel,ISR,1990,,96381,96381,98813,94309,,,,
Italy,ITA,1990,,466622,550951,572831,241744,,241744,,
Jamaica,JAM,1990,,52852,53467,59967,45477,,,,60227
Japan,JPN,1990,,1130273,1130273,1185921,916777,,916777,,1067480
Jersey,JEY,1990,,,,1036,,,,,
Jordan,JOR,1990,,112200,112200,127665,106102,,,,
Kazakhstan,KAZ,1990,,,,386154,,,,,
Kenya,KEN,1990,,771398,771398,951365,716298,,,,844865
Kiribati,KIR,1990,1820,2418,2418,2656,1870,,,,2318
Kosovo,OWID_KOS,1990,,,,55937,,,,,
Kuwait,KWT,1990,,26845,26845,39138,24955,,,,
Kyrgyzstan,KGZ,1990,,,,135588,,,,,
Land-locked developing countries (LLDC),,1990,,,,10407565,,,,,
Laos,LAO,1990,,28071,40547,167989,49904,,,,40547
Latin America and the Caribbean (UN),,1990,,,,11546165,,,,,
Latvia,LVA,1990,,,,41276,,,,,
Least developed countries,,1990,,,,20367682,,,,,
Lebanon,LBN,1990,,79212,79212,98029,58926,,,,
Lesotho,LSO,1990,,47189,47189,60672,46038,,,,51218
Less developed regions,,1990,,,,120677800,,,,,
"Less developed regions, excluding China",,1990,,,,93544616,,,,,
"Less developed regions, excluding least developed countries",,1990,,,,100310120,,,,,
Liberia,LBR,1990,,,,89049,,,,,
Libya,LBY,1990,,102950,102950,118181,109078,,,,110303
Liechtenstein,LIE,1990,,,,361,,,,,
Lithuania,LTU,1990,,,,55995,,,,,
Low-income countries,,1990,,,,12251242,,,,,
Lower-middle-income countries,,1990,,,,59232584,,,,,
Luxembourg,LUX,1990,,4339,4339,4809,3857,,,,
Macao,MAC,1990,,,,6261,,,,,
Madagascar,MDG,1990,,205926,205926,488430,210403,,,,299936
Malawi,MWI,1990,,322970,345244,415707,300696,,,,360093
Malaysia,MYS,1990,404044,422837,422837,472744,328873,,,,465121
Maldives,MDV,1990,,7675,7675,8707,7838,,,,8083
Mali,MLI,1990,,146995,146995,393813,150495,,,,286991
Malta,MLT,1990,,3517,4801,5448,4466,,4466,,4299
Marshall Islands,MHL,1990,184,1688,1633,1825,954,,,,899
Martinique,MTQ,1990,,,,6529,,,,,
Mauritania,MRT,1990,,23849,23849,75192,27462,,,,57093
Mauritius,MUS,1990,,17840,18050,21700,15951,,,,18260
Mayotte,MYT,1990,,,,3913,,,,,
Mexico,MEX,1990,,1183878,1474264,2332135,1675300,,,,1496601
Micronesia (country),FSM,1990,1795,2724,2724,3420,2596,,2596,,385
Moldova,MDA,1990,,,,83910,,,,,
Monaco,MCO,1990,,239,239,268,239,,239,,239
Mongolia,MNG,1990,,57594,59651,70299,63079,,,,55537
Montenegro,MNE,1990,,,,10393,,,,,
Montserrat,MSR,1990,,,,163,,,,,
More developed regions,,1990,,,,15345624,,,,,
Morocco,MAR,1990,,549900,549900,693237,536322,,,,651733
Mozambique,MOZ,1990,,225983,225983,547992,289848,,,,289848
Myanmar,MMR,1990,,877905,877905,1017810,678381,,,,947738
Namibia,NAM,1990,,,,51187,,,,,
Nauru,NRU,1990,,233,233,328,,,,,293
Nepal,NPL,1990,,279148,272656,689010,370034,,,,480395
Netherlands,NLD,1990,,182307,182307,195665,176668,,176668,,
New Caledonia,NCL,1990,,,,4297,,,,,
New Zealand,NZL,1990,,50958,50958,58621,50958,,50958,,
Nicaragua,NIC,1990,,100062,128651,145375,117216,,,,120075
Niger,NER,1990,,78467,78467,412215,89166,,,,178333
Nigeria,NGA,1990,,1936188,1901613,3942256,1867039,,,,2765983
Niue,NIU,1990,,52,52,51,52,,52,,52
North Korea,PRK,1990,,390074,394055,414704,390074,,,,394055
North Macedonia,MKD,1990,,,,36571,,,,,
Northern America (UN),,1990,,,,4507754,,,,,
Northern Mariana Islands,MNP,1990,,,,1034,,,,,
Norway,NOR,1990,,50153,48987,59873,50737,,50737,,
Oceania (UN),,1990,,,,525235,,,,,
Oman,OMN,1990,,61030,61030,61129,61030,,,,59785
Pakistan,PAK,1990,,2293354,2293354,4577301,2123476,,,,3397562
Palau,PLW,1990,,313,313,314,310,,,,
Palestine,PSE,1990,,,,93224,,,,,
Panama,PAN,1990,,54602,54602,64216,46348,,,,61586
Papua New Guinea,PNG,1990,25749,87545,87545,135149,86258,,,,118444
Paraguay,PRY,1990,,87862,83928,134177,90485,,,,98354
Peru,PER,1990,,459302,465682,654455,408269,,,,529474
Philippines,PHL,1990,,1658618,1658618,2082146,1602074,,,,1809401
Poland,POL,1990,,522612,522612,546846,517169,,517169,,528056
Portugal,PRT,1990,,101427,101427,114635,96869,,96869,,100287
Puerto Rico,PRI,1990,,,,64779,,,,,
Qatar,QAT,1990,,8105,8105,9710,7808,,,,9587
Reunion,REU,1990,,,,12877,,,,,
Romania,ROU,1990,,337259,323206,325978,323206,,,,316180
Russia,RUS,1990,,,,2059721,,,,,
Rwanda,RWA,1990,,245051,242133,302974,242133,,,,268389
Saint Barthelemy,BLM,1990,,,,90,,,,,
Saint Helena,SHN,1990,,,,110,,,,,
Saint Kitts and Nevis,KNA,1990,,905,905,897,905,,905,,731
Saint Lucia,LCA,1990,,3518,3558,3705,3241,,3241,,3716
Saint Martin (French part),MAF,1990,,,,807,,,,,
Saint Pierre and Miquelon,SPM,1990,,,,69,,,,,
Saint Vincent and the Grenadines,VCT,1990,,2553,2397,2535,2501,,,,2579
Samoa,WSM,1990,,4490,4390,5328,4440,,,,4839
San Marino,SMR,1990,,234,234,245,,,,,
Sao Tome and Principe,STP,1990,,3954,3868,4647,3052,,,,4255
Saudi Arabia,SAU,1990,345379,481438,481438,391022,460506,,,,470972
Senegal,SEN,1990,,142229,147806,301403,142229,,,,250992
Serbia,SRB,1990,,,,91293,,,,,
Seychelles,SYC,1990,,1577,1577,1658,1370,,1370,,1561
Sierra Leone,SLE,1990,,,,170636,,,,,
Singapore,SGP,1990,34873,40057,40057,51157,39586,,39586,,46655
Sint Maarten (Dutch part),SXM,1990,,,,721,,,,,
Slovakia,SVK,1990,,,,78112,,,,,
Slovenia,SVN,1990,,,,22737,,,,,
Small island developing states (SIDS),,1990,,,,1273214,,,,,
Solomon Islands,SLB,1990,,8863,8633,12541,8058,,,,10015
Somalia,SOM,1990,,54626,51751,319917,86252,,,,89127
South Africa,ZAF,1990,,893450,943086,1144621,980313,,,,707315
South Korea,KOR,1990,,504459,504459,669388,633983,,633983,,490825
South Sudan,SSD,1990,,,,220601,,,,,
Spain,ESP,1990,,344373,376408,403874,396430,,396430,,
Sri Lanka,LKA,1990,,295615,295615,327407,274990,,,,288740
Sudan,SDN,1990,,499529,499529,897640,459244,,,,620383
Suriname,SUR,1990,,9843,9606,12073,7708,,,,
Sweden,SWE,1990,,113576,113576,119926,110134,,110134,,14914
Switzerland,CHE,1990,,71955,78351,81955,71955,,71955,,
Syria,SYR,1990,,393268,393268,455876,375982,,,,397590
Taiwan,TWN,1990,,,,316498,,,,,
Tajikistan,TJK,1990,,,,219264,,,,,
Tanzania,TZA,1990,,768290,768290,1034380,787990,,,,837239
Thailand,THA,1990,,961446,961446,1056818,836040,,,,1034600
Togo,TGO,1990,,108730,107318,154691,103082,,,,139796
Tokelau,TKL,1990,,,,59,,,,,
Tonga,TON,1990,2654,2654,2625,2958,2428,,,,2795
Trinidad and Tobago,TTO,1990,,22510,23882,26372,19216,,19216,,
Tunisia,TUN,1990,,201040,201040,208806,201040,,,,207525
Turkey,TUR,1990,,1124279,1124279,1387928,1043973,,,,1244737
